Post_Text,Emotions
i am feeling soooooooo giggly,joy
i feel numb the way a wound does before it really starts to hurt,sadness
i cant stop talking even though im already feel weird uncomfortable feeling swarming me but still my mouth keeps saying unnecessary word,fear
i woke up feeling distraught,fear
i am comfortable and confident with feeling safe as i meditate,joy
i have a feeling that my plant may have been temperature shocked,surprise
i feel an inner conflict between my sense of duty and my desire to play i hadn t entertained thoughts of sex,joy
i am now feeling much more positive about her agility future because i could actually see it is there shes due her second measure some time over the next months and i would so love her to measure into small,joy
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,sadness
im looking good and feeling good other than this crappy cold im dealing with,joy
i feel as if it was a way of distracting me from my positive thoughts and i had to work really hard to switch my thoughts around today but i did it,joy
i feel that something wonderful is going to happen,joy
i just feel so unsure of myself and everything in my life,fear
i began to feel agitated slightly dizzy amp very hungry,fear
i feel like im craving it and then no matter what i order i just really am not that impressed,surprise
i feel thoroughly rotten,sadness
i am feeling drained it is because i am not taking this aspect seriously enough,sadness
i had a hour training class yesterday which will help me feel a little less stressed with the techniques i learned,sadness
i feeling almost defeated,sadness
i feel like i just cant be bothered,anger
i cant blog if im feeling inspired and once i do blog i lose inspiration,joy
i woke up early and felt strangely alert and good in contrast to my usual mornings feeling groggy cranky and sore,sadness
i feel embarrassed to talk to him at times because i feel very small in those moments like he is doing me a favor and i do not deserve to be given attention,sadness
i feel a cool breeze and think it might be cold but then i realize it is still degrees and humid outside,joy
i told him it was a good drink and made him feel talented as a bartender,joy
i feel funny without,surprise
i get that sick feeling like the one you get when you hear that someone passed away and youre shocked and lightheaded and i realize hes really gone forever,surprise
i woke up on a beautiful sunday morning feeling restless and miserable,fear
i dont know if you guys can relate but i always like to feel welcomed and see a smiling face when im having a spa treatment,joy
i was feeling awfully indecisive this morning when i started to think about what i wanted to do to get my heart pumpin,fear
i am feeling lighter and less inhibited every single day,sadness
i apologise in advance i m feeling somewhat angered and stressed and the following is just going to have to come out,anger
i tackle political ideas only when something makes me feel angry and even then it is often personal,anger
i was feeling nostalgic about those days where i officially belonged to this city after getting married to shubhi in feb,love
i don t ever have to fully feel any unpleasant emotion,sadness
i made an appointment with a friend to drink coffee togehter however,anger
i feel everything intensely and emotional and physical distress is a daily part of living with the disability,sadness
i feel horrible or even depressed that i try to fake myself out with positivity,sadness
im feeling discouraged i can look at that and remember i can achieve the goals i set for myself and i can always surprise myself with successes,sadness
i went to dads caught up with alice watched idol which was extremly crap and boring i dont know why i watch it but i feel like i need to be loyal to it,love
i got a good feeling from the school and i have a lovely class,love
im not going to lie i had started to feel over confident with the skinny fiber again as i had now dropped from a size x to a size x in clothing,joy
i think and how i feel and i m kind of proud that i have the guts to share this,joy
i feel all depressed,sadness
i feel like that s because i didn t grow up in cliques at school like in movies there s the popular girl,joy
i feel all rushed to get ready for tomorrow,anger
i love feeling brave,joy
i feel energetic and fresh and the great things is my eye sight has improved a lot,joy
i won t feel so shy and ashamed about it,fear
i play it i have more different feelings around a cold grim back drop,anger
i seem to wake up every day recently feeling immensely irritable and i cant quite work out why,anger
i feel assured the world around me seems brighter,joy
i feel disappointed for so dont say sorry dont say baby,sadness
im feeling quite relaxed today,joy
i used to feel very isolated in the far north of scotland but as social media and internet becomes more all encompassing the links to others becomes easier and the chance to be part of live discussion and participate in relevant and cutting edge debate and changes as they happen are amazing,sadness
i feel that as we study him we find that he was indeed a perfect example of what any christian and especially a latter day saint should be,joy
i actually feel excited about it for the first time in a long time,joy
i start feeling angry i need to actually stop and figure out what im really feeling so i can deal with life in a more balanced way,anger
im feeling afraid,fear
i feel like i ve already read every clever profile seen every picture and more importantly gone out on a first date with every guy on okc eharmony match etc,joy
i do feel agitated restless or on edge quite often,anger
ive got a cough that is deep in my chest and overall i just feel terrible,sadness
i was starting to feel scared for both of their safety and i wish those officers hadn t left no matter how much i hated them,fear
i feel like the projects that im successful in are projects that did not involve specific requirement free choice,joy
i guess i am just feeling slightly shaken at this sudden news,fear
i feel foolish for how much i ve analyzed this one solitary choice to go or not to go,sadness
i feel like a kid that s been naughty,love
i did feel bad for her because she did feel like she was getting pressured to get her cherry popped,sadness
i didnt feel gloomy,sadness
i feel exhausted after i am done reading its like i live multiple lives all at once in the span of a day,sadness
ive hated pretty much every shampoo ive tried without sulfates i often feel they make my hair look dull and produce pretty much no lather i need bubbles,sadness
i kept feeling enraged that she was in too,anger
i have a constitution for also not feeling deprived lucky me,sadness
i look to balance commercial titles with those that i feel could support a more artistic interpretation,joy
i wanted to write and feel purged of those repressed feelings,sadness
i took a day off which is so unusual for me i almost feel naughty,love
i love getting my rockabilly look on for certain occasions i love feeling pretty,joy
i actually put forth the effort and stick to a routine though i am busier i feel less stressed and more fulfilled at the end of the day and am better able to enjoy the simple moments of motherhood,sadness
i feel so virtuous,joy
i feel i am a rejected child,sadness
i wasnt so terribly sore i would feel a bit regretful but theres papers to write and ebony dances to practice for,sadness
im feeling a much more festive with the tree in,joy
i used to feel pretty friendly with started spouting off about how russia is running a muck for no reason that they dont give a shit about their citizens and that they cant be trusted,joy
i didn t know it was possible to feel more terrified,fear
i thought about it later feeling anxious and worried,fear
i feel that this is a very important subject to discuss,joy
i can t believe i feel so petrified,fear
i need to feel like my time is valuable,joy
i feel indecisive on whether or not i feel the book huckleberry finn should be censored,fear
i completely understand that they couldnt have an actual fireplace but seeing it just painted on ruined the feel of the well done set,joy
im glad that peter doesnt feel threatened or concerned by my recent interest in decidedly egalitarian almost feminist christian blogs jonalyn finchers a href http soulation,fear
i feel moderately handsome at the minute but as soon as i go out ill look like a twat,joy
i do hope that some simply transferred to another benedictine monastery that they didn t all feel so disillusioned that they walked away from monastic life altogether,sadness
i feel so regretful not going but,sadness
i am feeling quite weepy can you get rid of them and she did,sadness
i think it to want you to settle immediately each other not to feel unpleasant,sadness
i feel ecstatic despite being tired,joy
i feel so doomed all the time,sadness
im feeling a bit pathetic today i cant stop crying,sadness
i kept crying or feeling cranky,anger
i signed the petition and knowing that it will be served in the next few days has left me feeling vulnerable as i am unsure about his reaction,fear
ive been feeling like im running on empty and fearful that ill get my usual progression of sinus infection to walking pneumonia so ive been pounding the a href http www,sadness
i go back to feeling smart again,joy
i think and feel its funny its sad its weird but more than any of that its the truth,surprise
i feel like im more hated than celebrated and i cant wait till the day i can say i made it,anger
i miss lev and i didnt think that i would cos lately at school weve been rubbing eachother the bad directions i think but i feel as if break is serving as a splendid cleansing time,joy
i feel impressed to talk to my older children about my vision for our family and enlist their aid in accomplishing it,surprise
i did that at the recent french open with the claret jug so i now feel somewhat reluctant i got close to the claret jug in france as i felt afterwards i want to be able to do that till hopefully win the open and then get to bond it for the next twelve months,fear
i was feeling helpless as i could not explain it to him,sadness
i came across the exchange point feeling strong,joy
i want to feel intelligent sexy cute funny,joy
i feel the divine presence merge into mine,joy
i begin to feel embarrassed about the way i acted and sometimes i just feel downright unloveable,sadness
im feeling fairly miserable about this,sadness
i started to sprint even when i consciously thought about my foot not even once did it register to my brain that i was feeling hurt from it,sadness
i feel im miserable when i try to do other things,sadness
i don t like feeling vulnerable or exposing all my worries and concerns mostly because i have felt the need to hold it together to be the strong one,fear
i still feel devastated and disconsolate,sadness
i was afraid to clean nicos ears but after his doctor showed me how then i didnt feel like i could hurt him,sadness
i can feel more submissive,sadness
i feel you see there is always the possibility that someone might laugh or feel disgusted and it is easier for her too to express her feelings about a story and not about her boyfriend,anger
i feel like we are supporting her lifestyle,love
im still feeling all wimpy it may be another skip around,fear
i guess i have a right to feel this way but i dont know because lately i havent been a faithful contributing member of the christian faith,joy
i feel free really better a href http,joy
i can feel what hes feeling but not quite because this is his own beloved brother,joy
i love feeling like i am truly making a difference in students lives although sometimes i am unsure,fear
i feel fine read the rest,joy
i am feeling resentful because i am thinking to myself that she should trust me,anger
i wasnt so self conscious of my atrocious singing i think id be tempted to break out into this whenever a colleague is feeling defeated,sadness
i can feel their joy and excitement for the opportunity to receive these vital ordinances,joy
i cried through it all but i remember them blessing us to feel comfort and i remember feeling a sweet spirit,love
i alight in front of the hotel i can feel the bellmen s appreciative glances,joy
i feel i am wrongly punished or that my misbehavior was unavoidable i am allowed to argue over whether or not i should be punished or how severely,sadness
one day,sadness
i sort of feel like one of those people who was unfortunate and lost their father when they were and life goes on,sadness
im off to relax while feeling my sweet extremely active little baby wiggle around in my belly,joy
i am feeling positive about it,joy
i can imagine what my daily life would look like with hardly a material possession to my name and it feels so peaceful but i will probably not be doing away with everything so how do i find the right balance,joy
i saw a few pianos that were either newer cheaper or larger but there was always something missing that made me feel uncertain about buying them,fear
i came out on the other side feeling stronger and more compassionate to others,love
i ask you to trust this and to celebrate not the images of lives cut short but the feeling of freedom that your hearts can accord when you reach for these lovely spirits and know that you make the connection,love
i dont mean to boast but i feel rather impressed by my message,surprise
i feel pretty content rel bookmark i feel pretty content a href http getyourprettyon,joy
i feel its a reminder that im taking care of something so precious and need to treat myself better,joy
i would not knowingly wound the feelings of any not even one who may have wronged me but would seek to do him good and make him my friend,anger
i feel irritated by everything,anger
i am used to being let down and feeling rejected by guys,sadness
i was left feeling a little disappointed since it all started so well and finished a little limply,sadness
i hate being selfish but i gotta admit i feel so depressed about it,sadness
i feel quite disappointed in myself for being sucked into the charade,sadness
i like moving with a long lead time and not feeling rushed,anger
i have found if i can make time for quiet reflection or even just pause in the chaos i can feel god s peace and his gentle comfort,love
i feel they look a little awkward just below,sadness
i feel like im presenting myself in a less hostile manner now when i am dragged to an event or gathering full of stupid fake people,anger
i feel quite scared about my work life balance if i start to work for ken again,fear
i feel like i just need to rejuvenate myself catch up on some blog posts some work on my etsy shop and catch up on a few tv shows i missed this week,sadness
i feel when my socks bunch up under my feet that it makes me cranky and liable to bite someone s head off for saying hello,anger
i love when everything looks so bright even i feel so dull,sadness
i feel a little dull,sadness
i can do this but after a romantic meal and a few glasses of wine i m tired and lethargic and the last thing i feel like is some vigorous humping action,joy
im referring to a comment in the pattern right now not feeling that divine really since i probably was born with a set of dpns in my hands,joy
i feel intimidated by the wide open design and therefore find it hard to write,fear
i feel ive been beaten down by the words of men who have no grounds i cant sleep beneath the trees of wisdom when you ax has cut the roots that feed them forked tounges in bitter mouths can drive a man to bleed from the indide out what if you did,sadness
i feel out of longing is actually being sublimed,love
i feel proud to announce that dr,joy
i go to tell someone to feel her kick she gets shy and stops,fear
i just feel so overwhelmed by the feeling of balance that i just,fear
i feel like a dumb blonde she mumbled not realizing that alli was standing right next to her she desperately hoped she hadn t heard her say that,sadness
im feeling angry i think i strop about ruffling the air and inflating my position and exaggerating the issue,anger
i didn t binge at all during the weekend and had more energy to clean the house something i had put off for weeks even if these pills didn t really make me lose any weight i wanted them because i hardly felt the need to eat and didn t feel totally and completely exhausted,sadness
i try to remember that quote when i feel i may be hitting a wall in a marathon or even a training run and i know it is time to find that perfect song that fuel,joy
i have no word to describe the feeling reply she said its been days today that i have been in such a lovely country india i never thought that anything like this can ever happen to me where everyone treated us so gracefully humbly and with so respect,love
i was feeling irate and extremely uncomfortable,anger
i feel super glued to my bed,joy
i didn t ride on sunday and was still feeling a little apprehensive on monday so decided to a title lunge href http en,fear
ive been waking up and automatically thinking in portugu s also lately and it feels fantastic,joy
i quite often get up feeling groggy but after meditating and having a fresh juice i feel as good as new,sadness
i was left feeling slightly intimidated and overwhelmed,fear
i woke up at around am or am the next day crunched at the bed because i was feeling a terrible headache so painful i was awaken from my sleep,sadness
i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger
i feel that there s sometimes a danger of companies adding too much free stuff and slitting their own throats,joy
im feeling melancholy with all the back to school stuff today,sadness
i feel enthralled by the lyrics and the rhythm,surprise
im feeling punished for having loved the previous books,sadness
i very close with the founder its amazing to feel that a purchase is supporting artisans trying to find their way out of poverty,joy
i feel rejected like my peers dont really understand me and as a result arguments ensue,sadness
i would feel weird having my dads hand on my stomach for any amount of time especially for several minutes while he waits to feel taryn jumping around in there,surprise
i feel helpless to make any real difference,sadness
im an organised person so i feel more assured of myself when i pre plan,joy
i feel like karen is being far too greedy pushy demanding on all fronts,anger
i feel so dumb talking about this i feel like a whiny emo teenager who has so many problems and who is far too in love with her temporary boyfriend,sadness
i couldnt help feel infuriated when i had left the building,anger
i can see a dramatic improvement in my skills on the dubied already and feel that with practice i could produce lovely work in the future,love
i know that my issues questions feelings etc are going to be resolved,joy
i feel ignored i feel this boredom like a little sword straight to my chest straight to my chest to my chest to my chest straight to my chest straight to my chest to my chest to my chest straight to my chest straight to my,sadness
i feel my children are in harms way i feel frightened,fear
ive been having trouble sleeping my anxiety is causing my social life to suffer i lack the motivation that used to drive me work is quickly becoming a chore where i was once satisfied and i feel dull and uninteresting,sadness
i feel paranoid because nobody is saying anything,fear
i feel shaken by it and im far far above the age group targeted,fear
i feel like one of those devoted fans who follows their favorite band while they are on tour only years late,love
i feel like im single handedly supporting the tissue industry at the moment,love
my sister lost one of her twin sons my first nephews and then the older one died a week later,sadness
i am tired of being tired and feeling beaten down,sadness
i feel sorry for those who taps and feeds from others good intentions,sadness
im supposed to stay in the lively room but as an explorer i feel that the lively room simply does not have enuff to offer me and have decided to move on to the stairs bedrooms and baffroom,joy
i also feel embarrassed because i can consciously look at my life and see all the good things in it that everyone else sees but when the depression cycle hits even knowing those good things exist simply isn t enough,sadness
i got a feeling that the hateful talk in the work place wore thin and they kept her around only for what they absolutely needed her to cover,anger
i feel like i can read all the articles and blogs and even the press releases from the akron marathon in the world but nothing can calm me down,joy
i feel relieved and ready to move on to the next series of challenges that life has to offer,joy
i must say im not feeling very optimistic,joy
i try to work but i cant concentrate me on something else than you and i log in my private journal to share my feelings my love with my faithful compagnon journal,love
when i found out that i had passed the last two exams by a margin of three marks,joy
im feeling pretty good but once at the bus stop i start yawning,joy
i was feeling i half joked ive been undressing you with my eyes for months already the rest of me is eager to share in the fun,joy
i am also in an exciting space i have to admit i am feeling curiously excitedly optimistic about the future,joy
i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills,surprise
i feel quite privileged because myself and the other foreigners live in a complex known to all as the foreign experts building i dont think im really an expert at anything but if thats how theyd like to call it im fine with it haha,joy
i also feel contented and humbled by this experience and will always be thankful for this opportunity,joy
i walked away from that encounter feeling blessed too,joy
i am not hausa but i feel offended especially as the crazy motorcyclist who is now getting up from the ground like nothing happened bears no resemblance to anyone from the north,anger
i can pick at my skin for a while and make myself feel terrible and then when i feel bad enough that i need to make myself feel better i can stop and theres the illusion of released pressure,sadness
i declined this invitation but secretly i could not help but feel curious,surprise
i started feeling like myself again but it was a pretty rotten time in between,sadness
i feel may be useful to my readers who are searching tablets but dont want to break your wallet like the apple ipad tablets do,joy
i feel less assaulted by my inadequacies under grey skies on rainy days,sadness
i thought i was doing what was best for my child but my pediatrician made me feel like a neglectful mom,sadness
i shared previously the tv program and another minor disagreement before bed left me feeling rejected and lonely,sadness
i feel disgusted just looking at that number,anger
i feel like i want to be very very rebellious until they regret of what they have done to their single daughter,anger
i go to church i ll probably sit in the back feel awkward and not talk to anyone,sadness
i am feeling a little groggy this morning not to mention a headache,sadness
i feel delighted to be a part of the so celebrated so diversified and so enchanted womanhood of which we speak too often but forget all the same more often,joy
i am a boy i like girls they are pretty and i like it when they smile at me but it makes me feel funny,surprise
i feel like it s going to be something shockingly amazing,joy
i sound feeling ballroom cd rel nofollow target blank va prandi sound feeling ballroom cd,sadness
i got the feeling he wasn t saying this to string me along so much as to have a sympathetic audience to tell his troubles to,love
i feel more happy inside on a scale i would say a,joy
i was feeling quite nervous,fear
i thought it d be and i got full marks on the questions which makes me feel quite clever,joy
i have been feeling awful,sadness
i feel reassured by how well we get on how much we love each other and i wonder why i ever worried,joy
i want to say how i want to feel just come out so bitter and angry,anger
i feel liked i talked about mass effect to death in these posts but i m going to have to again i m afraid,love
i feel a lot of pressure but i am determined to finish them so that i can visit my sister in may with a clear conscience,joy
i feel so unimportant it sucks,sadness
i feel like i have been rather unkind to it,anger
i am reminded that this heartache im feeling is a gentle nudge,love
i feel angry disgusted,anger
i feel like thats a pretty petty thing to complain about,anger
i plan to volunteer for red cross helping immigrants and refugees to feel welcomed and accepted in our local community,joy
i turn feeling ridiculously awkward and very self conscious to face zayne,sadness
i feel more passionate about things too,joy
i know that feeling myself the strange sense of serendipity where minds collide between pages,fear
i find calming about these colors i dunno i guess they feel pleasant as weird as that sounds,joy
i am actually considering buying them thats why i feel so unsure hehe,fear
im feeling all sentimental too and i cannot wait to be up in vermont for christmas with the whole ryan family,sadness
i didnt feel scared at all,fear
i feel have been convinced by many factors in our culture of a kind of cooking mystique,joy
im feeling pretty shaken at the moment,fear
i am speaking for myself right now but i know there are a lot of people who feel drained because of that non closure that occurs when we never get to be done with something,sadness
i was th in each age group this race has awesome custom horse trophies designed to mimic giant painted horses throughout the town see example below so now i feel determined to come back next year and try again,joy
i feel strange and weird about this entire struggle am i the only one who deals with this kind of conflict,fear
i stopped feeling bitter and sorry for myself and lost myself in the work my work started getting better or rather continued to get better,anger
im feeling more vulnerable writing about this than i do writing about my melt downs mishaps and toddler challenges,fear
i have loved not feeling rushed here,anger
i am not working i can cope with but days like today when i am i just feel awful,sadness
i do at times feel complacent with my life as is,joy
i was feeling very sympathetic and told him i was so sorry and somehow felt responsible for him getting burned which is ridiculous because he is a grown man who has lived in his sun sensitive skin for years and should know by now how to take care of himself,love
i feel sentimental i close my eyes and look up i feel powerful if i do that,sadness
i feel so rich when i pass by you i see a penny,joy
i have to say im feeling very tender about a great many things today being a mom is one,love
i feel honored to have those books on my shelves,joy
i also feel a little selfish when i get excited about hitting it off with our friends friends because it makes me feel victorious in our choices,anger
i still need to brush my teeth but i have already taken my pills showered and eaten breakfast so i am feeling virtuous for a moment or two,joy
i feel that the media cannot be resolved effectively,joy
i dont want to make a bad impression with my new co workers in both my job or my lab simply because i just feel so insecure and agitated all the time,fear
i feel that the most talented of illustrators designers are ones that know how to get an idea across without the trappings of crosshatching and lensflares on everything,joy
i feel sorry for them,sadness
ill feel so troubled over the most trivial matters,sadness
im not feeling so tortured around the other one anymore,anger
i may attempt a hair coloring session later if i m feeling brave crazy saturday nights over here,joy
i feel smart yet comfortable in it i feel good when i wear it,joy
i could only feel this relaxed all the time,joy
i feel like i ve lost some of my main roots i feel less secure emotionally financially and socially,sadness
i was feeling brave and wanted to try my hand at free motion quilting,joy
i get into conversations and regret them and start to feel exhausted after fifteen minutes of something that sounds like something but feels like it is only peas and carrots peas and carrots mush mush mush,sadness
i have a feeling that christ welcomed corey and then whispered youve got some work to do son,joy
i always seem to feel im running on empty,sadness
i feel hopeless and alone and i eat to soothe myself,sadness
i have good camwhore skill thanks to instagram and pudding which is anotehr super popular social apps to post all your vain picture without feeling vain because others will do the same so ftw,sadness
i feel like my dream is so selfish,anger
i feel special now its just fun to say lol amvassago of the i just cant stop laughing when ever i read something and then i see beefy amkris toshibalol amits an epic word so is beef cake amvassago of the nooo,joy
i have a sick feeling that our hour bus adventure will be in vain,sadness
i feel determined this time though,joy
a study visit to a chicken factory the butchery,anger
i feel impatient but much thanks to nic she knows how to calm to me down,anger
i feel like i ve been neglecting my beloved mom blog,joy
im feeling lately vulnerable impressionable and a little emotional,fear
i feel like i need a artistic community or a friend or a class,joy
i feel the less successful pieces were my two front covers as the images i used here were taken from movie stills,joy
i receive the good news in joy like the magi or do i feel threatened by gods message like herod,fear
i bring this up because i am feeling increasingly nostalgic for a game ive never played,love
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,love
ive told my parents about how i honestly feel being in this course and im glad theyre gonna back off and let me decide what i want to do next in my life,joy
i am ready to cry because i feel such a sweet presence of the ruach hakodesh the holy spirit in my room with me right now,joy
i felt i got to feel more appreciative for people,joy
i am close to her i get this complete fuzzy loved feeling grew so fond of,love
i am feeling shaky all day too,fear
im feeling ive resolved to live a life of love and miracles,joy
i think about the book i wrote that i feel like i ve talked incessantly about to you gracious beautiful you but i think about it because it s coming close to the point where i no longer have a hand in the words anymore the point where my hands are off and yours are on,joy
i feel and im irritated by it,anger
i didnt need that reminder plus her words made me feel as if she saw me as pathetic,sadness
i feel very apprehensive to adopt labels and to even identify myself as queer it seems that im still quite unclear on that subject and it keeps me feeling separate from the queer community like joel,fear
i just finished a long day of work and am feeling a bit sentimental and its been a few weeks so i thought id get on here and write a few words,sadness
i was the new guy and you never know how people are going to react how theyre going to feel about you but everyone was really gracious,love
ive been feeling rather defeated and stressed out but this appointment reminded me that though i may be failing in other areas im doing a pretty dang good job at growing this baby,sadness
i drafted this post at least a month ago and now i m feeling quite uncertain about it,fear
i feel the palate jaded types take on natural wine and lighter styles as a messianic quest to reveal the true nature of great wine,sadness
im starting to feel overwhelmed again when it comes to the research for this book,fear
i feel ashamed that i so readily turn it aside,sadness
i coaxed myself up onto a high horse reminding myself how gratuitously and nastily homophobic stand up comedy tends to be and how even if sam kinison s semi famous friend or his opening acts did not happen to fit that bill i still didn t feel like supporting the industry,joy
i feel like there is too much suffering for those of us in christ jesus,sadness
i am feeling much more myself again now and i would like to say thank you to everyone for the lovely get well wishes your lovely comments always mean so much to me,love
i feel like it my beloved burkie who i miss more than words can ever say,joy
i feel like i m being mentally and emotionally assaulted with something and i just wanted to write that down somewhere,sadness
on a dark night i felt that there were several people near me and i did not know who they were,fear
i feel like hes too carefree to be as serious as i want him,joy
i am feeling so stunned and sad about the earthquake in christchurch new zealand yesterday,surprise
i feel quite reassured but the jurys verdict isnt in yet,joy
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,anger
i feel no word can be quite as dirty as the word sexual intercourse where it is used wrongly,sadness
i remember when i started feeling homesick,sadness
i feel most of your parents are republicans i shall not overload the stories with feeling or the need for society to be blamed for the outcome,sadness
im feeling indecisive about what to do,fear
i used to down a large mushroom pizza and a pitcher of beer and feel positively virtuous afterward,joy
im feeling extraordinarily dazed and bewildered this arvo for no particular reason and my muscles all hurt even though i dont actually have any,surprise
i respect his feelings and its unfortunate i cant return them but i feel like hes trying to creep closer and closer for the title of boyfriend as in,sadness
